percent pertubation_type Round CV AUC AUPR
0.5 feature Round--3 CV--3 0.81570 0.56189
0.5 feature Round--3 CV--4 0.82266 0.53879
0.5 feature Round--3 CV--5 0.81481 0.55536
0.5 feature Round--4 CV--1 0.81479 0.53940
0.5 feature Round--4 CV--2 0.82630 0.58435
0.5 feature Round--4 CV--3 0.79038 0.52160
0.5 feature Round--4 CV--4 0.80937 0.54973
0.5 feature Round--4 CV--5 0.79953 0.51530
0.5 feature Round--5 CV--1 0.85461 0.69746
0.5 feature Round--5 CV--2 0.81294 0.54751
0.5 feature Round--5 CV--3 0.82229 0.56716
0.5 feature Round--5 CV--4 0.85017 0.68964
0.5 feature Round--5 CV--5 0.81903 0.55093
0.5 feature Round--6 CV--1 0.85548 0.68289
0.5 feature Round--6 CV--2 0.85891 0.68486
0.5 feature Round--6 CV--3 0.81914 0.55071
0.5 feature Round--6 CV--4 0.82851 0.55360
0.5 feature Round--6 CV--5 0.80779 0.52691
0.5 feature Round--7 CV--1 0.80010 0.51249
0.5 feature Round--7 CV--2 0.81921 0.54365
0.5 feature Round--7 CV--3 0.80948 0.52764
0.5 feature Round--7 CV--4 0.82345 0.55497
0.5 feature Round--7 CV--5 0.81776 0.52239
0.5 feature Round--8 CV--1 0.81643 0.54744
0.5 feature Round--8 CV--2 0.84920 0.68738
0.5 feature Round--8 CV--3 0.80434 0.51751
0.5 feature Round--8 CV--4 0.88789 0.72680
0.5 feature Round--8 CV--5 0.85717 0.70230
0.5 feature Round--9 CV--1 0.82450 0.55942
0.5 feature Round--9 CV--2 0.79307 0.52813
0.5 feature Round--9 CV--3 0.80672 0.53482
0.5 feature Round--9 CV--4 0.82437 0.54016
0.5 feature Round--9 CV--5 0.81431 0.54471
0.25 feature Round--0 CV--1 0.82463 0.54950
0.25 feature Round--0 CV--2 0.83037 0.56083
0.25 feature Round--0 CV--3 0.85944 0.49450
0.25 feature Round--0 CV--4 0.84395 0.59074
0.25 feature Round--0 CV--5 0.81879 0.54165
0.25 feature Round--1 CV--1 0.87042 0.71015
0.25 feature Round--1 CV--2 0.86603 0.69179
0.25 feature Round--1 CV--3 0.88590 0.69137
0.25 feature Round--1 CV--4 0.83303 0.58929
0.25 feature Round--1 CV--5 0.84478 0.57862
0.25 feature Round--2 CV--1 0.84017 0.58412
0.25 feature Round--2 CV--2 0.82426 0.52445
0.25 feature Round--2 CV--3 0.83112 0.52469
0.25 feature Round--2 CV--4 0.82359 0.54995
0.25 feature Round--2 CV--5 0.84112 0.56680
0.25 feature Round--3 CV--1 0.82662 0.55673
0.25 feature Round--3 CV--2 0.83473 0.55908
0.25 feature Round--3 CV--3 0.84038 0.57086
0.25 feature Round--3 CV--4 0.89790 0.75230
0.25 feature Round--3 CV--5 0.82290 0.52458
0.25 feature Round--4 CV--1 0.83413 0.56024
0.25 feature Round--4 CV--2 0.83789 0.58943
0.25 feature Round--4 CV--3 0.80815 0.54277
0.25 feature Round--4 CV--4 0.81161 0.55415
0.25 feature Round--4 CV--5 0.81317 0.52014
0.25 feature Round--5 CV--1 0.87013 0.70169
0.25 feature Round--5 CV--2 0.82634 0.55921
0.25 feature Round--5 CV--3 0.85106 0.59273
0.25 feature Round--5 CV--4 0.86497 0.70705
0.25 feature Round--5 CV--5 0.83696 0.58091
0.25 feature Round--6 CV--1 0.87224 0.70607
0.25 feature Round--6 CV--2 0.89225 0.73484
0.25 feature Round--6 CV--3 0.82305 0.55328
0.25 feature Round--6 CV--4 0.82709 0.55090
0.25 feature Round--6 CV--5 0.82253 0.55337
0.25 feature Round--7 CV--1 0.81562 0.55243
0.25 feature Round--7 CV--2 0.89241 0.73800
0.25 feature Round--7 CV--3 0.82778 0.55167
0.25 feature Round--7 CV--4 0.81868 0.55521
0.25 feature Round--7 CV--5 0.82926 0.53658
0.25 feature Round--8 CV--1 0.81458 0.53408
0.25 feature Round--8 CV--2 0.80178 0.53101
0.25 feature Round--8 CV--3 0.85754 0.69877
0.25 feature Round--8 CV--4 0.89124 0.72090
0.25 feature Round--8 CV--5 0.80842 0.51908
0.25 feature Round--9 CV--1 0.84219 0.58912
0.25 feature Round--9 CV--2 0.81385 0.55102
0.25 feature Round--9 CV--3 0.82800 0.56940
0.25 feature Round--9 CV--4 0.88385 0.70895
0.25 feature Round--9 CV--5 0.87526 0.71353
