percent pertubation_type Round CV AUC AUPR
1 networkfeature Round--7 CV--2 0.52701 0.22953
1 networkfeature Round--7 CV--3 0.51256 0.21343
1 networkfeature Round--7 CV--4 0.51395 0.23645
1 networkfeature Round--7 CV--5 0.48066 0.21669
1 networkfeature Round--8 CV--1 0.47679 0.20515
1 networkfeature Round--8 CV--2 0.51827 0.23027
1 networkfeature Round--8 CV--3 0.47987 0.20426
1 networkfeature Round--8 CV--4 0.50226 0.21874
1 networkfeature Round--8 CV--5 0.51436 0.24772
1 networkfeature Round--9 CV--1 0.54567 0.23563
1 networkfeature Round--9 CV--2 0.51355 0.23405
1 networkfeature Round--9 CV--3 0.52196 0.22861
1 networkfeature Round--9 CV--4 0.50658 0.22102
1 networkfeature Round--9 CV--5 0.49178 0.21145
0.75 networkfeature Round--0 CV--1 0.65241 0.39465
0.75 networkfeature Round--0 CV--2 0.67691 0.41391
0.75 networkfeature Round--0 CV--3 0.65253 0.38140
0.75 networkfeature Round--0 CV--4 0.68637 0.45346
0.75 networkfeature Round--0 CV--5 0.65040 0.41804
0.75 networkfeature Round--1 CV--1 0.67223 0.42563
